HS Code,Commodity Name,Year,Month,Country,Nominal Value,Annual Inflation Rate,CPI,Real Value,Category Type
7404,Copper Waste And Scrap,2023,Jan,Suriname,427363,4.12,139.7235,305863.3658618629,Refined / Articles
7404,Copper Waste And Scrap,2023,Apr,Suriname,161417,4.12,139.7235,115526.02103440008,Refined / Articles
7404,Copper Waste And Scrap,2023,May,Suriname,326470,4.12,139.7235,233654.3244336135,Refined / Articles
7404,Copper Waste And Scrap,2023,Jun,Suriname,261051,4.12,139.7235,186833.99714436012,Refined / Articles
7404,Copper Waste And Scrap,2023,Jul,Suriname,166354,4.12,139.7235,119059.4280847531,Refined / Articles
7404,Copper Waste And Scrap,2023,Aug,Suriname,207984,4.12,139.7235,148853.98662358156,Refined / Articles
7404,Copper Waste And Scrap,2023,Sep,Suriname,176444,4.12,139.7235,126280.83321703221,Refined / Articles
7404,Copper Waste And Scrap,2023,Oct,Suriname,86069,4.12,139.7235,61599.51618732711,Refined / Articles
7404,Copper Waste And Scrap,2023,Nov,Suriname,163354,4.12,139.7235,116912.33042401599,Refined / Articles
7404,Copper Waste And Scrap,2023,Dec,Suriname,168213,4.12,139.7235,120389.91293518986,Refined / Articles
7404,Copper Waste And Scrap,2024,Jan,Suriname,168750,2.9,143.7755,117370.48384460495,Refined / Articles
7404,Copper Waste And Scrap,2024,Feb,Suriname,290816,2.9,143.7755,202270.90150964525,Refined / Articles
7404,Copper Waste And Scrap,2024,Apr,Suriname,352701,2.9,143.7755,245313.70087393193,Refined / Articles
7404,Copper Waste And Scrap,2024,Jun,Suriname,123109,2.9,143.7755,85625.8541962991,Refined / Articles
7404,Copper Waste And Scrap,2024,Aug,Suriname,633060,2.9,143.7755,440311.457793574,Refined / Articles
7404,Copper Waste And Scrap,2024,Sep,Suriname,16535,2.9,143.7755,11500.568594788403,Refined / Articles
7404,Copper Waste And Scrap,2024,Oct,Suriname,211276,2.9,143.7755,146948.54130223856,Refined / Articles
7404,Copper Waste And Scrap,2024,Nov,Suriname,134842,2.9,143.7755,93786.49352636575,Refined / Articles
7404,Copper Waste And Scrap,2024,Dec,Suriname,294252,2.9,143.7755,204660.7384429197,Refined / Articles
7404,Copper Waste And Scrap,2025,Jan,Suriname,353142,2.8,147.8012,238930.40110635097,Refined / Articles
7404,Copper Waste And Scrap,2025,Feb,Suriname,196044,2.8,147.8012,132640.33038973974,Refined / Articles
7404,Copper Waste And Scrap,2025,Mar,Suriname,286374,2.8,147.8012,193756.20766272536,Refined / Articles
7404,Copper Waste And Scrap,2025,Apr,Suriname,191223,2.8,147.8012,129378.51654790353,Refined / Articles
7404,Copper Waste And Scrap,2025,May,Suriname,199605,2.8,147.8012,135049.64777011282,Refined / Articles
7404,Copper Waste And Scrap,2025,Jun,Suriname,195140,2.8,147.8012,132028.69800786462,Refined / Articles
7404,Copper Waste And Scrap,2025,Aug,Suriname,945405,2.8,147.8012,639646.3628170814,Refined / Articles
7404,Copper Waste And Scrap,2025,Sep,Suriname,296150,2.8,147.8012,200370.49766848984,Refined / Articles
7404,Copper Waste And Scrap,2025,Oct,Suriname,515484,2.8,147.8012,348768.4809054324,Refined / Articles
7404,Copper Waste And Scrap,2025,Nov,Suriname,429535,2.8,147.8012,290616.72029726417,Refined / Articles
7404,Copper Waste And Scrap,2013,Jul,Uruguay,108024,1.46,106.8327,101115.1080146809,Refined / Articles
7404,Copper Waste And Scrap,2014,Sep,Uruguay,117192,1.62,108.5634,107947.98246922996,Refined / Articles
7404,Copper Waste And Scrap,2015,May,Uruguay,66900,0.12,108.6937,61549.10542193337,Refined / Articles
7404,Copper Waste And Scrap,2016,Oct,Uruguay,33472,1.26,110.0632,30411.61805217366,Refined / Articles
7404,Copper Waste And Scrap,2017,Mar,Uruguay,90447,2.13,112.4076,80463.42062280486,Refined / Articles
7404,Copper Waste And Scrap,2017,Aug,Uruguay,69826,2.13,112.4076,62118.57561232514,Refined / Articles
7404,Copper Waste And Scrap,2018,Nov,Uruguay,99074,2.44,115.1503,86038.85530476256,Refined / Articles
7404,Copper Waste And Scrap,2019,Jan,Uruguay,94670,1.81,117.2345,80752.67945869177,Refined / Articles
7404,Copper Waste And Scrap,2021,Feb,Uruguay,146968,4.7,124.2543,118280.01123502366,Refined / Articles
7404,Copper Waste And Scrap,2021,Apr,Uruguay,568909,4.7,124.2543,457858.60127174674,Refined / Articles
7404,Copper Waste And Scrap,2021,May,Uruguay,926480,4.7,124.2543,745632.1431129546,Refined / Articles
7404,Copper Waste And Scrap,2021,Jun,Uruguay,497100,4.7,124.2543,400066.6375328661,Refined / Articles
7404,Copper Waste And Scrap,2021,Jul,Uruguay,172186,4.7,124.2543,138575.48591879717,Refined / Articles
7404,Copper Waste And Scrap,2021,Aug,Uruguay,168443,4.7,124.2543,135563.11532075753,Refined / Articles
7404,Copper Waste And Scrap,2021,Sep,Uruguay,510660,4.7,124.2543,410979.74074136675,Refined / Articles
7404,Copper Waste And Scrap,2021,Oct,Uruguay,504329,4.7,124.2543,405884.54484070174,Refined / Articles
7404,Copper Waste And Scrap,2021,Nov,Uruguay,633088,4.7,124.2543,509509.9324530419,Refined / Articles
7404,Copper Waste And Scrap,2022,Feb,Uruguay,179819,8.0,134.1947,133998.58563713767,Refined / Articles
7404,Copper Waste And Scrap,2022,Mar,Uruguay,166366,8.0,134.1947,123973.59955348459,Refined / Articles
7404,Copper Waste And Scrap,2022,Aug,Uruguay,105611,8.0,134.1947,78699.82942694458,Refined / Articles
7404,Copper Waste And Scrap,2022,Oct,Uruguay,73639,8.0,134.1947,54874.745425862566,Refined / Articles
7404,Copper Waste And Scrap,2022,Dec,Uruguay,93269,8.0,134.1947,69502.74489230945,Refined / Articles
7404,Copper Waste And Scrap,2023,May,Uruguay,149073,4.12,139.7235,106691.42985968717,Refined / Articles
7404,Copper Waste And Scrap,2023,Jun,Uruguay,132657,4.12,139.7235,94942.51146013377,Refined / Articles
7404,Copper Waste And Scrap,2023,Sep,Uruguay,150275,4.12,139.7235,107551.70032242249,Refined / Articles
7404,Copper Waste And Scrap,2024,Jan,Uruguay,113934,2.9,143.7755,79244.37751911835,Refined / Articles
7404,Copper Waste And Scrap,2024,Feb,Uruguay,93621,2.9,143.7755,65116.10114379711,Refined / Articles
7404,Copper Waste And Scrap,2024,Aug,Uruguay,413998,2.9,143.7755,287947.5293078445,Refined / Articles
7404,Copper Waste And Scrap,2025,Mar,Uruguay,158094,2.8,147.8012,106963.94887186302,Refined / Articles
7404,Copper Waste And Scrap,2025,Jun,Uruguay,168242,2.8,147.8012,113829.9283091071,Refined / Articles
7404,Copper Waste And Scrap,2025,Oct,Uruguay,142931,2.8,147.8012,96704.89820109715,Refined / Articles
7404,Copper Waste And Scrap,2010,Jun,Venezuela,79753,1.64,100.0,79753.0,Refined / Articles
7404,Copper Waste And Scrap,2010,Oct,Venezuela,37592,1.64,100.0,37592.0,Refined / Articles
7404,Copper Waste And Scrap,2016,Jan,Venezuela,37400,1.26,110.0632,33980.47667158505,Refined / Articles
7404,Copper Waste And Scrap,2016,Apr,Venezuela,831937,1.26,110.0632,755872.0807681405,Refined / Articles
7404,Copper Waste And Scrap,2016,May,Venezuela,1052228,1.26,110.0632,956021.6312082513,Refined / Articles
