Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member)
7609 Aluminum Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2011,27373
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2015,2691270
7412 Copper Tube Or Pipe Fittings,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2012,2656
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2020,10700
"7508 Articles Of Nickel, Nesoi",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2024,13400679
7419 Articles Of Copper Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2023,51067
"7505 Nickel Bars, Rods, Profiles And Wire",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2013,64381
"7601 Aluminum, Unwrought",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2025,1296030
"7604 Aluminum Bars, Rods And Profiles",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2022,246443
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2025,5745019
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2021,732128
7907 Articles Of Zinc Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2021,3220690
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2022,1360659
2805 Alkali Metals Etc; Rare-earth Metals Etc; Mercury,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2021,10200
7419 Articles Of Copper Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2010,2135278
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2016,191945310
2805 Alkali Metals Etc; Rare-earth Metals Etc; Mercury,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2016,50111
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2020,280412
7907 Articles Of Zinc Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2013,130670
"7611 Tanks Etc, Over 300 Liter Capacity, Aluminum",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2023,4578
"7611 Tanks Etc, Over 300 Liter Capacity, Aluminum",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2018,12000
7503 Nickel Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2020,2656
2820 Manganese Oxides,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2015,352830
7613 Aluminum Containers For Compressed Or Liquefid Gas,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2020,3331
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2011,9364
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2022,2322412
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2023,2698376
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2019,982423
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2018,7377
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2010,15993
7404 Copper Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2017,495220
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2025,9285170
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2011,2450744
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2015,1818241
7404 Copper Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2019,226008
7907 Articles Of Zinc Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2016,6278
7609 Aluminum Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2013,764501
7609 Aluminum Tube Or Pipe Fittings,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2022,657161
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,2018,394776
7408 Copper Wire,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2020,17171
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2011,3456
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2020,722487
7907 Articles Of Zinc Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2020,772006
7412 Copper Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2016,508103
7616 Articles Of Aluminum Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2010,1478105
7404 Copper Waste And Scrap,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2016,638534
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2022,552305
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Burma,All Country Subcodes,All Rate Provisions,All Districts,2023,3748
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,2025,233542156
"7407 Copper Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2018,6719
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2024,10512
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2017,2861427
"7611 Tanks Etc, Over 300 Liter Capacity, Aluminum",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2021,60206
7503 Nickel Waste And Scrap,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2010,19523
7412 Copper Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2018,1418654
7609 Aluminum Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2017,246428
7419 Articles Of Copper Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2015,4822108
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2013,2223093
7616 Articles Of Aluminum Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2021,19852406
7408 Copper Wire,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2023,10870614
7404 Copper Waste And Scrap,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2014,144447
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2012,144369
7412 Copper Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2015,61872
"7407 Copper Bars, Rods And Profiles",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2025,94366
7608 Aluminum Tubes And Pipes,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2024,976497
7408 Copper Wire,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2024,494965
7616 Articles Of Aluminum Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2012,14707864
7613 Aluminum Containers For Compressed Or Liquefid Gas,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2022,1561757
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Cambodia,All Country Subcodes,All Rate Provisions,All Districts,2012,6955
2817 Zinc Oxide And Zinc Peroxide,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2013,44372
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2016,758627
7404 Copper Waste And Scrap,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2015,7133
7404 Copper Waste And Scrap,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2019,242014
"7604 Aluminum Bars, Rods And Profiles",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2016,135307
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2020,5229782
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2020,1303091
7504 Nickel Powders And Flakes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2017,16972
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2017,20540
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2012,906906
"7508 Articles Of Nickel, Nesoi",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2015,1269392
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Burma,All Country Subcodes,All Rate Provisions,All Districts,2021,101813
7602 Aluminum Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2019,254329
7602 Aluminum Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2017,41552
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2020,693939
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2015,3784495
7616 Articles Of Aluminum Nesoi,Burma,All Country Subcodes,All Rate Provisions,All Districts,2015,522081
7602 Aluminum Waste And Scrap,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2013,572518
7411 Copper Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2011,89923401
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2016,52722
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2024,30465792
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2017,1156758
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2014,5210
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2016,1802876
7605 Aluminum Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2018,1046954
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2015,33298
7602 Aluminum Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2015,316920
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2022,6057
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2022,3275518
7411 Copper Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2019,4367735
7419 Articles Of Copper Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2023,1388842
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2016,3789842
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2018,175373
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2019,3600
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,2023,57891030
7605 Aluminum Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2024,1426014
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2019,53009927
7419 Articles Of Copper Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2010,1127629
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2014,65890
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2021,100493
7907 Articles Of Zinc Nesoi,Cambodia,All Country Subcodes,All Rate Provisions,All Districts,2025,996054
7907 Articles Of Zinc Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2011,1439759
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2015,1859215
"7407 Copper Bars, Rods And Profiles",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2020,11624
7609 Aluminum Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2012,387295
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2015,29874455
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,2024,134051456
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2024,5201171
7602 Aluminum Waste And Scrap,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2019,737125
7608 Aluminum Tubes And Pipes,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2019,1724998
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2021,9663767
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2019,2511252
7412 Copper Tube Or Pipe Fittings,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2025,4699236
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2012,18197
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,2010,40712
7902 Zinc Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2021,2796
"7905 Zinc Plates, Sheet, Strip And Foil",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2025,69256
7419 Articles Of Copper Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2014,253291
"7604 Aluminum Bars, Rods And Profiles",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2020,175132
"7505 Nickel Bars, Rods, Profiles And Wire",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2016,339311
"7604 Aluminum Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2013,1944410
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2011,3965217
7408 Copper Wire,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2018,7093409
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2025,63612
7616 Articles Of Aluminum Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2013,9300539
7503 Nickel Waste And Scrap,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2020,185819
7609 Aluminum Tube Or Pipe Fittings,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2015,83620
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2016,71151713
7408 Copper Wire,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2015,5155762
"7407 Copper Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2023,1317399
7907 Articles Of Zinc Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2014,2498053
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2016,2475928
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2014,1022035
